Filename,Number,Name,Eqn. No.,Output,Formula,# variables,v1_name,v1_low,v1_high,v2_name,v2_low,v2_high,v3_name,v3_low,v3_high,v4_name,v4_low,v4_high,v5_name,v5_low,v5_high,v6_name,v6_low,v6_high,v7_name,v7_low,v7_high,v8_name,v8_low,v8_high,v9_name,v9_low,v9_high,v10_name,v10_low,v10_high
test_1,1,Rutherford scattering,1,A,(Z_1*Z_2*alpha*hbar*c/(4*E_n*sin(theta/2)**2))**2,7,Z_1,1,2,Z_2,1,2,alpha,1,2,hbar,1,2,c,1,2,E_n,1,3,theta,1,3,,,,,,,,,
test_2,2,3.55 Goldstein,2,k,m*k_G/L**2*(1+sqrt(1+2*E_n*L**2/(m*k_G**2))*cos(theta1-theta2)),6,m,1,3,k_G,1,3,L,1,3,E_n,1,3,theta1,0,6,theta2,0,6,,,,,,,,,,,,
test_3,3,3.64 Goldstein,3,r,d*(1-alpha**2)/(1+alpha*cos(theta1-theta2)),4,d,1,3,alpha,2,4,theta1,4,5,theta2,4,5,,,,,,,,,,,,,,,,,,
test_4,4,3.16 Goldstein,4,v,sqrt(2/m*(E_n-U-L**2/(2*m*R**2))),5,m,1,3,E_n,8,12,U,1,3,L,1,3,R,1,3,,,,,,,,,,,,,,,
test_5,5,3.74 Goldstein,5,t,2*pi*d**(3/2)/sqrt(G*(m1+m2)),4,d,1,3,G,1,3,m1,1,3,m2,1,3,,,,,,,,,,,,,,,,,,
test_6,6,3.99 Goldstein,6,alpha,sqrt(1+2*epsilon**2*E_n*L**2/(m*(Z_1*Z_2*Q**2)**2)),7,epsilon,1,3,L,1,3,m,1,3,Z_1,1,3,Z_2,1,3,Q,1,3,E_n,1,3,,,,,,,,,
test_7,7,Friedman Equation,7,H_G,sqrt(8*pi*G*rho/3-alpha*c**2/d**2),5,G,1,3,rho,1,3,alpha,1,2,c,1,2,d,1,3,,,,,,,,,,,,,,,
test_8,8,Compton Scattering,8,K,E_n/(1+E_n/(m*C**2)*(1-cos(theta))),4,E_n,1,3,m,1,3,C,1,3,theta,1,3,,,,,,,,,,,,,,,,,,
test_9,9,Gravitational wave ratiated power,9,Pwr,-32/5*G**4/c**5*(m1*m2)**2*(m1+m2)/r**5,5,G,1,2,c,1,2,m1,1,5,m2,1,5,r,1,2,,,,,,,,,,,,,,,
test_10,10,Relativistic aberation,10,theta1,arccos((cos(theta2)-v/C)/(1-v/C*cos(theta2))),3,C,4,6,v,1,3,theta2,1,3,,,,,,,,,,,,,,,,,,,,,
test_11,11,N-slit diffraction,11,I,I_0*(sin(alpha/2)*sin(N*delta/2)/(alpha/2*sin(delta/2)))**2,4,I_0,1,3,alpha,1,3,delta,1,3,N,1,2,,,,,,,,,,,,,,,,,,
test_12,12,2.11 Jackson,12,F,q/(4*pi*epsilon*y**2)*(4*pi*epsilon*Volt*d-q*d*y**3/(y**2-d**2)**2),4,q,1,5,y,1,3,Volt,1,5,d,4,6,epsilon,1,5,,,,,,,,,,,,,,,
test_13,13,3.45 Jackson,13,Volt,1/(4*pi*epsilon)*Q/sqrt(R**2+d**2-2*R*d*cos(alpha)),4,Q,1,5,R,1,3,d,4,6,alpha,0,6,epsilon,1,5,,,,,,,,,,,,,,,
test_14,14,4.60' Jackson,14,Volt,Ef*cos(theta)*(-r+d**3/r**2*(alpha-1)/(alpha+2)),5,Ef,1,5,theta,0,6,r,1,5,d,1,5,alpha,1,5,,,,,,,,,,,,,,,
test_15,15,11.38 Jackson,15,omega_0,sqrt(1-v**2/C**2)*omega/(1+v/C*cos(theta)),4,C,5,20,v,1,3,omega,1,5,theta,0,6,,,,,,,,,,,,,,,,,,
test_16,16,8.56 Goldstein,16,E_n,sqrt((p-Q*A_vec)**2*C**2+m**2*C**4)+Q*Volt,6,m,1,5,C,1,5,p,1,5,Q,1,5,A_vec,1,5,Volt,1,5,,,,,,,,,,,,
test_17,17,12.80' Goldstein,17,E_n,1/(2*M)*(P**2+M**2*omega**2*X**2*(1+alpha*X/y)),6,M,1,5,omega,1,5,P,1,5,y,1,5,X,1,5,alpha,1,5,,,,,,,,,,,,
test_18,18,15.2.1 Weinberg,18,rho_0,3/(8*pi*g)*(c**2*k_f/r**2+H_G**2),4,g,1,5,k_f,1,5,r,1,5,H_G,1,5,c,1,5,,,,,,,,,,,,,,,
